epoch, lr, avg_loss, model_score
Epoch 191, 0.00000143, 19.39351654, 0.674952
Epoch 192, 0.00000133, 18.61965179, 0.693898
Epoch 193, 0.00000124, 16.69745636, 0.643653
Epoch 194, 0.00000117, 14.54049301, 0.605456
Epoch 195, 0.00000111, 23.15040398, 0.710533
Epoch 196, 0.00000106, 16.30063057, 0.646391
Epoch 197, 0.00000103, 18.84382439, 0.696453
Epoch 198, 0.00000101, 27.99541092, 0.728300
Epoch 199, 0.00000100, 19.88789177, 0.711069
Epoch 200, 0.00000101, 20.17234612, 0.691605
